"linenum";"startnum";"endnum";"Name";"Name_1";"Shape_Leng";"type";"coordinates"
530;27;29;"星光下道";"星光下道";"37.5894494023";"LineString";"49348.01610000059,19226.7397999987,49344.11360000074,19227.98149999976,49340.565900001675,19229.93279999867,49337.17410000041,19233.24190000072,49334.7686999999,19235.574000000954,49335.49230000004,19252.16290000081,49336.06749999896,19256.879599999636"
306;1;2;"拐弯";"外环道路";"51.7304359276";"LineString";"47855.4701000005,19265.729899998754,47894.19949999824,19231.436000000685"
334;2;7;"外环路";"外环路";"453.002973999";"LineString";"47894.19949999824,19231.436000000685,47946.86300000176,19235.220199998468,48011.32589999959,19241.218400001526,48052.95219999924,19245.63340000063,48082.841499999166,19248.29899999872,48106.65540000051,19250.161600001156,48129.53799999878,19252.15720000118,48148.69559999928,19253.753600001335,48170.38080000132,19254.817899998277,48192.86430000141,19256.680500000715,48220.004200000316,19258.67610000074,48241.02430000156,19260.405600000173,48259.1174999997,19261.07070000097,48293.97360000014,19264.662799999118,48311.268599998206,19265.993200000376,48337.34420000017,19267.72269999981,48345.639400001615,19268.271099999547"
335;3;1;"直走";"外环路";"66.8351786996";"LineString";"47922.206099998206,19269.369600001723,47855.4701000005,19265.729899998754"
336;2;3;"拐弯";"外环路";"47.1521754811";"LineString";"47894.19949999824,19231.436000000685,47922.206099998206,19269.369600001723"
531;24;23;"星光下道";"星光下道";"41.6968877188";"LineString";"49274.90179999918,19269.55640000105,49274.23330000043,19263.79050000012,49273.28730000183,19255.90680000186,49271.04039999843,19251.70870000124,49268.91180000082,19249.40269999951,49266.80429999903,19248.51570000127,49262.54580000043,19246.841699998826,49258.288600001484,19246.841699998826,49249.41939999908,19247.905999999493"
532;24;29;"直走";"星光下道";"62.4655434199";"LineString";"49274.90179999918,19269.55640000105,49336.06749999896,19256.879599999636"
337;7;55;"外环路";"外环路";"1514.23300008";"LineString";"48345.639400001615,19268.271099999547,48369.53950000182,19269.851300001144,48386.169300001115,19270.38340000063,48389.229200001806,19270.38340000063,48451.22509999946,19274.862399999052,48488.475900001824,19277.18809999898,48549.10200000182,19278.370700001717,48576.06450000033,19278.370700001717,48617.69079999998,19278.607200000435,48640.86899999902,19278.607200000435,48680.36670000106,19278.134199999273,48715.843600001186,19277.424600001425,48746.590300001204,19275.76900000125,48777.10049999878,19274.822999998927,48824.639600001276,19272.694400001317,48866.02930000052,19268.91019999981,48919.71770000085,19264.416400000453,48974.115699999034,19258.030600000173,49030.64229999855,19251.171700000763,49082.4386,19243.13030000031,49134.47150000185,19235.798399999738,49179.17240000144,19228.466499999166,49233.64919999987,19221.528700001538,49275.59079999849,19213.644999999553,49299.32669999823,19208.93100000173,49331.95969999954,19202.449999999255,49377.60669999942,19192.51649999991,49420.1790000014,19182.109900001436,49467.00860000029,19167.68259999901,49475.99610000104,19164.607999999076,49478.36120000109,19161.533300001174,49518.33190000057,19150.653700001538,49523.53519999981,19153.01880000159,49555.46440000087,19142.612300001085,49607.26069999859,19128.421500001103,49655.272900000215,19116.59589999914,49693.587900001556,19106.425799999386,49746.330299999565,19092.234999999404,49774.47540000081,19085.139600001276,49800.96480000019,19077.807700000703,49834.549600001425,19068.82030000165"
338;6;3;"外环路";"外环路";"382.912423331";"LineString";"48303.90069999918,19295.884500000626,48299.148499999195,19294.735599998385,48285.48990000039,19293.848600000143,48265.800200000405,19292.42960000038,48241.498500000685,19289.76880000159,48216.1325000003,19288.172299999744,48182.78420000151,19285.86630000174,48153.16099999845,19283.9151000008,48116.97450000048,19280.544799998403,48085.39999999851,19278.0614,48053.470800001174,19275.93279999867,48022.42850000039,19273.449400000274,48016.3973999992,19272.917199999094,47992.982599999756,19272.207699999213,47978.96920000017,19273.27199999988,47954.490100000054,19272.207699999213,47933.7360999994,19269.90170000121,47922.206099998206,19269.369600001723"
339;6;7;"拐弯";"外环路";"50.0461680602";"LineString";"48303.90069999918,19295.884500000626,48345.639400001615,19268.271099999547"
340;540;6;"外环路";"外环路";"4.88656859176";"LineString";"48306.97700000182,19299.68120000139,48303.90069999918,19295.884500000626"
341;9;6;"直走";"外环路";"73.1853225261";"LineString";"48376.979699999094,19299.82800000161,48303.90069999918,19295.884500000626"
342;7;9;"拐弯";"外环路";"44.4753003551";"LineString";"48345.639400001615,19268.271099999547,48376.979699999094,19299.82800000161"
343;9;591;"外环路";"外环路";"6.84527563204";"LineString";"48376.979699999094,19299.82800000161,48371.041999999434,19303.23409999907"
344;23;9;"外环路";"外环路";"877.227231437";"LineString";"49249.41939999908,19247.905999999493,49235.93809999898,19250.03460000083,49226.00459999964,19251.985899999738,49219.441300000995,19252.69539999962,49211.10429999977,19253.759700000286,49200.461199998856,19253.4048999995,49183.96440000087,19256.243099998683,49156.64719999954,19261.919399999082,49127.20129999891,19266.35399999842,49103.96389999986,19269.19220000133,49074.16330000013,19273.626800000668,49043.120999999344,19278.416200000793,49021.12530000135,19280.722199998796,48985.29360000044,19283.9151000008,48955.13819999993,19287.640200000256,48928.88529999927,19290.30090000108,48906.1799999997,19292.074799999595,48882.587900001556,19293.316500000656,48852.96460000053,19295.977299999446,48829.0177000016,19297.7511,48794.25030000135,19300.411899998784,48760.36980000138,19302.895300000906,48742.27659999952,19302.895300000906,48714.42720000073,19303.959600001574,48685.86829999834,19305.378600001335,48661.56659999862,19306.088199999183,48634.9589000009,19306.088199999183,48603.38439999893,19306.088199999183,48578.018399998546,19306.62029999867,48555.13569999859,19306.088199999183,48524.093400001526,19306.088199999183,48510.07999999821,19306.088199999183,48498.19530000165,19308.21680000052,48492.873700000346,19308.571600001305,48482.940200001,19308.571600001305,48459.17060000077,19308.039400000125,48454.913400001824,19308.039400000125,48441.96429999918,19304.314300000668,48437.17489999905,19302.895300000906,48418.726900000125,19302.895300000906,48396.02169999853,19301.29879999906,48384.480099998415,19299.67179999873,48376.979699999094,19299.82800000161"
345;244;209;"外环路";"外环路";"108.830991257";"LineString";"51837.050000000745,19309.0111999996,51834.21189999953,19304.990499999374,51801.80959999934,19278.974100001156,51764.20399999991,19249.646499998868,51752.61490000039,19240.659000001848"
346;255;244;"直走";"外环路";"26.7272797278";"LineString";"51856.46489999816,19327.37990000099,51837.050000000745,19309.0111999996"
158;61;77;"南三路";"南三路";"276.682241764";"LineString";"49869.990299999714,19090.38800000027,49868.50200000033,19090.922499999404,49863.97870000079,19093.849399998784,49860.38659999892,19096.643199998885,49856.06560000032,19101.590300001204,49853.449200000614,19104.91629999876,49851.32059999928,19108.24219999835,49850.12319999933,19111.30209999904,49849.058899998665,19115.027199998498,49848.3936999999,19119.683499999344,49848.92590000108,19131.25789999962,49850.256200000644,19144.960900001228,49850.256200000644,19159.46209999919,49850.788400001824,19174.362399999052,49851.71970000118,19187.134100001305,49852.118799999356,19203.763900000602,49852.51790000126,19217.067699998617,49852.51790000126,19228.109900001436,49853.05009999871,19242.877199999988,49853.71519999951,19261.103500001132,49855.17870000005,19274.141199998558,49855.444699998945,19287.31210000068,49855.976900000125,19299.15249999985,49856.509100001305,19313.786699999124,49857.04120000079,19330.549600001425,49856.90819999948,19339.463199999183,49856.90819999948,19345.050799999386,49857.44029999897,19348.908900000155,49858.23860000074,19351.835700001568,49859.568900000304,19354.363499999046,49861.74680000171,19356.611099999398"
159;76;56;"南三路";"南三路";"268.724429496";"LineString";"49839.57259999961,19359.846200000495,49843.36659999937,19355.21189999953,49842.96750000119,19345.89919999987,49842.43530000001,19329.269400000572,49841.370999999344,19300.39999999851,49840.17370000109,19269.401999998838,49839.77450000122,19254.36870000139,49838.710200000554,19236.54149999842,49838.31109999865,19215.92060000077,49837.1138000004,19191.308400001377,49835.51729999855,19184.257399998605,49834.719099998474,19171.352699998766,49833.9208999984,19162.039999999106,49833.78779999912,19148.869199998677,49833.38870000094,19136.496599998325,49832.85649999976,19129.84470000118,49831.92529999837,19124.256999999285,49830.59490000084,19119.068500000983,49828.99839999899,19116.806899998337,49827.40199999884,19115.210400000215,49825.672499999404,19113.74700000137,49824.342099998146,19112.283599998802,49820.20899999887,19109.858399998397,49818.25780000165,19108.439300000668,49813.11360000074,19107.552400000393,49808.856400001794,19107.552400000393"
187;76;77;"直走";"南四路";"22.4089495013";"LineString";"49839.57259999961,19359.846200000495,49861.74680000171,19356.611099999398"
160;560;76;"南三路";"南三路";"6.27619112839";"LineString";"49835.197399999946,19364.346000000834,49839.57259999961,19359.846200000495"
161;79;614;"南三路";"南三路";"7.61336929492";"LineString";"49842.0727000013,19378.284499999136,49839.41629999876,19375.47190000117,49836.29120000079,19373.408900000155"
162;79;76;"直走";"南三路";"18.6070257392";"LineString";"49842.0727000013,19378.284499999136,49839.57259999961,19359.846200000495"
163;81;79;"直走";"南三路";"18.2015365147";"LineString";"49859.72170000151,19382.735199999064,49842.0727000013,19378.284499999136"
164;77;81;"直走";"南三路";"26.2024737535";"LineString";"49861.74680000171,19356.611099999398,49859.72170000151,19382.735199999064"
884;209;210;"中五路";"中五路";"248.298368963";"LineString";"51752.61490000039,19240.659000001848,51747.17509999871,19238.76689999923,51741.299600001425,19238.64389999956,51738.10669999942,19238.998700000346,51735.09120000154,19240.240299999714,51731.18870000169,19243.433299999684,51722.85159999877,19250.88340000063,51705.8227000013,19269.508799999952,51687.019900001585,19289.73070000112,51667.81799999997,19309.745600000024,51655.44550000131,19323.182500001043,51641.21029999852,19337.949700001627,51631.232400000095,19348.459800001234,51621.520599998534,19358.969799999148,51608.881999999285,19373.87009999901,51599.968400001526,19383.71499999985,51591.45389999822,19393.426800001413,51584.93499999866,19400.610899999738,51584.003800000995,19403.005600001663,51583.471599999815,19405.799400001764,51583.205499999225,19408.061000000685,51583.471599999815,19410.721799999475"
188;77;87;"南四路";"南四路";"1176.98578236";"LineString";"49861.74680000171,19356.611099999398,49865.338799998164,19360.469200000167,49871.45859999955,19364.593400001526,49879.440900001675,19367.387200001627,49901.12620000169,19375.768599998206,49920.15069999918,19383.085700001568,49936.514400001615,19389.338500000536,49953.80939999968,19396.123500000685,49968.57669999823,19401.578099999577,49982.67880000174,19407.29870000109,49996.514800000936,19411.955099999905,50006.62570000067,19414.34980000183,50019.66349999979,19416.079300001264,50037.357599999756,19417.143599998206,50059.17590000108,19417.40960000083,50069.020799998194,19417.276599999517,50087.64620000124,19413.950599998236,50096.9589000009,19412.088100001216,50119.575399998575,19407.29870000109,50136.60429999977,19403.440600000322,50163.3451000005,19397.98600000143,50182.63569999859,19393.595800001174,50205.78440000117,19388.00809999928,50225.60709999874,19383.883900001645,50262.39959999919,19375.620799999684,50296.32449999824,19368.24450000003,50316.28020000085,19364.12029999867,50334.50649999827,19359.996100001037,50357.25609999895,19354.674600001425,50380.80389999971,19350.151299998164,50406.4803000018,19344.563700001687,50435.216699998826,19337.778700001538,50461.292199999094,19332.058100000024,50482.31230000034,19327.800799999386,50496.015299998224,19324.474899999797,50506.39229999855,19320.61670000106,50513.8423999995,19317.42379999906,50518.57360000163,19314.871100001037,50520.66899999976,19314.122800000012,50523.13850000128,19312.476500000805,50525.75769999996,19310.979800000787,50528.45169999823,19308.659899998456,50532.04369999841,19306.04069999978,50536.90799999982,19301.999699998647,50541.547699999064,19297.659299999475,50545.43910000101,19293.318900000304,50551.35099999979,19285.012299999595,50556.68290000036,19276.33159999922,50558.87180000171,19272.515000000596,50559.88210000098,19270.157699998468,50561.341299999505,19266.45340000093,50562.51999999955,19263.085900001228,50563.923099998385,19259.269400000572,50564.428199999034,19256.74370000139,50565.77519999817,19252.42199999839,50566.392599999905,19250.51379999891,50566.729400001466,19247.988099999726,50567.23449999839,19243.89090000093,50567.851900000125,19237.492600001395,50568.1325000003,19231.71169999987,50568.020300000906,19225.144999999553,50567.79580000043,19216.221000000834,50567.73959999904,19208.812399998307,50567.57129999995,19200.281300000846,50567.178399998695,19194.051399998367,50566.561000000685,19187.204100001603,50565.66299999878,19179.290399998426,50564.7089000009,19169.97349999845,50563.53020000085,19161.94750000164,50562.57609999925,19155.21249999851,50561.95870000124,19148.140599999577,50561.11679999903,19140.33920000121,50559.82589999959,19129.506900001317,50559.26469999924,19123.333099998534,50558.759500000626,19117.60830000043,50557.356400001794,19109.80680000037,50556.51449999958,19104.92390000075,50555.11140000075,19098.69399999827,50554.101100001484,19094.821299999952,50552.81019999832,19089.20870000124,50552.02450000122,19084.999299999326,50550.78970000148,19079.779599998146,50549.162099998444,19076.075300000608,50548.09569999948,19072.539400000125,50545.70100000128,19065.991399999708,50542.55790000036,19058.50800000131,50539.86389999837,19051.623300001025,50538.51689999923,19047.43259999901,50537.169900000095,19044.06500000134,50535.3739,19038.078299999237,50533.35330000147,19032.465700000525,50532.15599999949,19027.676399998367,50529.53680000082,19019.59430000186,50527.44139999896,19013.68239999935,50526.169300001115,19009.34200000018,50524.89710000157,19005.30090000108,50523.92419999838,19001.634100001305,50523.101100001484,18997.44339999929,50522.352699998766,18994.449999999255,50521.67920000106,18988.987100001425,50520.70639999956,18982.70100000128,50519.80840000138,18978.58509999886,50518.23680000007,18972.4486999996,50517.11430000141,18966.01300000027,50516.44079999998,18960.699799999595,50513.97129999846,18952.393199998885,50511.50180000067,18945.433600001037,50509.78060000017,18941.242899999022,50508.20910000056,18935.031700000167,50506.71240000054,18929.34430000186,50504.691899999976,18922.30990000069,50503.26999999955,18914.22780000046,50501.04989999905,18906.544799998403,50498.455699998885,18896.267599999905,50495.56210000068,18887.087900001556,50493.566500000656,18881.600099999458,50491.371399998665,18877.908300001174,50489.67509999871,18875.51359999925,50487.57979999855,18873.218699999154,50485.8834999986,18871.123300001025,50484.287099998444,18869.42709999904,50483.0896999985,18868.229699999094,50482.59079999849,18867.830600000918,50480.39570000023,18866.533500000834,50477.80150000006,18865.934799999,50473.242400001734,18865.427799999714,50469.78339999914,18865.028700001538,50466.457400001585,18865.028700001538"
808;210;211;"直走";"中六横西";"18.1935981256";"LineString";"51583.471599999815,19410.721799999475,51571.02109999955,19423.98800000176"
