"x";"y";"startnum";"linenum"
"48846.9515";"19766.8991";"546";"195"
"50462.4182";"19768.3158";"141";"734"
"50486.7564";"19765.2918";"142";"735"
"50215.151";"19770.6377";"130";"736"
"50203.8431";"19733.0042";"128";"148"
"50462.4182";"19768.3158";"141";"737"
"48859.8948";"19777.4725";"34";"196"
"48859.8948";"19777.4725";"34";"197"
"48860.5991";"19746.8772";"32";"198"
"48881.8942";"19769.2211";"547";"199"
"51429.9088";"19778.5313";"260";"856"
"51444.42";"19763.2556";"259";"818"
"51989.9144";"19796.141";"326";"557"
"51976.9617";"19803.3707";"322";"558"
"51051.0265";"19759.6385";"177";"738"
"51162.1284";"19803.5116";"203";"898"
"49641.4752";"19808.3563";"103";"173"
"47838.1106";"19812.9912";"8";"354"
"51162.1284";"19803.5116";"203";"739"
"51325.7331";"19683.5812";"220";"899"
"52011.3403";"19824.8166";"335";"807"
"51989.9144";"19796.141";"326";"559"
"52128.1985";"19722.7227";"340";"560"
"51132.3342";"19826.1307";"199";"740"
"51162.1284";"19803.5116";"203";"741"
"49552.7842";"19825.2661";"557";"496"
"49557.2487";"19828.9958";"97";"497"
"49536.7092";"19837.2978";"94";"498"
"49536.7092";"19837.2978";"94";"499"
"51174.9645";"19843.6639";"224";"742"
"51206.1198";"19819.4762";"225";"743"
"49632.6003";"19853.9115";"104";"174"
"51512.0736";"19859.3325";"279";"857"
"51206.1198";"19819.4762";"225";"744"
"51298.7146";"19878.5453";"252";"819"
"47832.231";"19896.3565";"10";"467"
"47832.231";"19896.3565";"10";"355"
"51276.2501";"19899.4373";"251";"745"
"51298.7146";"19878.5453";"252";"746"
"51429.9088";"19778.5313";"260";"820"
"51557.557";"19902.0277";"285";"858"
"50203.9524";"19908.548";"133";"149"
"49809.4298";"19596.4765";"99";"175"
"50486.7564";"19765.2918";"142";"225"
"49106.6133";"19915.0095";"69";"537"
"49644.2403";"19908.9285";"105";"176"
"51303.0253";"19921.6684";"264";"747"
"50196.5932";"19923.9723";"136";"150"
"48879.3941";"19778.1798";"36";"200"
"49003.3566";"19926.7904";"60";"201"
"50508.3825";"19914.6517";"147";"226"
"49644.2403";"19908.9285";"105";"177"
"48991.4378";"19935.5263";"58";"202"
"51174.9645";"19843.6639";"224";"900"
"51095.2967";"19936.7908";"227";"901"
"48992.447";"19944.5512";"549";"203"
"49003.3566";"19926.7904";"60";"204"
"49020.5872";"19936.6647";"550";"205"
"49008.896";"19957.1081";"63";"206"
"49008.896";"19957.1081";"63";"207"
"51329.0474";"19899.6541";"265";"748"
"51407.0967";"19961.7387";"278";"915"
"49106.6133";"19915.0095";"69";"538"
"49359.581";"19525.9126";"52";"539"
"51444.42";"19763.2556";"259";"859"
"51661.4225";"19965.9505";"303";"827"
"49049.5367";"19967.5892";"68";"540"
"49020.2017";"19947.3341";"64";"208"
"47855.4701";"19265.7299";"1";"476"
"47806.1687";"19974.7599";"11";"356"
"51661.4225";"19965.9505";"303";"860"
"51976.9617";"19803.3707";"322";"828"
"51645.0671";"19980.7892";"302";"861"
"51645.0671";"19980.7892";"302";"829"
"47806.1687";"19974.7599";"11";"357"
"47880.5741";"19682.7344";"5";"358"
"51659.0559";"19993.7777";"309";"862"
"51673.429";"19977.1084";"308";"830"
"49018.1674";"19994.3975";"66";"209"
"49018.1674";"19994.3975";"66";"541"
"51381.3831";"19998.7384";"280";"749"
"51381.3831";"19998.7384";"280";"916"
"47842.075";"20005.5389";"12";"477"
"47842.075";"20005.5389";"12";"359"
"47870.864";"19983.2037";"13";"478"
"48804.1077";"19586.9399";"20";"750"
"48550.1691";"20008.2544";"26";"751"
"51407.0967";"19961.7387";"278";"618"
"51557.557";"19902.0277";"285";"917"
"51095.2967";"19936.7908";"227";"835"
"51180.1251";"20013.4534";"257";"821"
"48522.9252";"20022.0592";"25";"752"
"48550.1691";"20008.2544";"26";"753"
"48571.4447";"20017.2225";"544";"754"
"51180.1251";"20013.4534";"257";"836"
"51303.0253";"19921.6684";"264";"822"
"51169.0368";"20026.1925";"258";"837"
"51169.0368";"20026.1925";"258";"823"
"52011.3403";"19824.8166";"335";"561"
"50963.7698";"20029.3268";"564";"902"
"50972.1233";"20032.4488";"217";"903"
"48523.2768";"20033.9422";"542";"755"
"51184.1611";"20037.987";"263";"838"
"51194.1196";"20025.9099";"262";"824"
"51437.0553";"20040.5052";"291";"619"
"51463.2685";"20012.3131";"288";"918"
"49174.2028";"19964.9499";"72";"542"
"51819.9607";"20031.3049";"341";"562"
"48543.1996";"20041.9819";"28";"756"
"50961.7006";"20044.3175";"218";"904"
"50961.7006";"20044.3175";"218";"905"
"51673.429";"19977.1084";"308";"863"
"51754.0089";"20049.9749";"332";"563"
"51819.9607";"20031.3049";"341";"564"
"51811.273";"20050.6958";"579";"565"
"52340.1269";"20053.3706";"413";"360"
"48556.655";"20054.1713";"33";"757"
"51733.9556";"20065.076";"329";"864"
"51733.9556";"20065.076";"329";"566"
"49118.2793";"20041.368";"73";"543"
"52340.1269";"20053.3706";"413";"361"
"52141.0924";"19681.2153";"334";"362"
"51463.2685";"20012.3131";"288";"620"
"48594.4943";"20092.9161";"38";"758"
"51535.9962";"20091.9588";"304";"831"
"50263.6331";"20093.8082";"145";"151"
"52318.2741";"20094.4835";"587";"363"
"48594.4943";"20092.9161";"38";"759"
"51194.1196";"20025.9099";"262";"839"
"51281.6625";"20107.2958";"282";"919"
"49118.2793";"20041.368";"73";"210"
"49196.8607";"20113.0314";"85";"500"
"51535.9962";"20091.9588";"304";"621"
"51659.0559";"19993.7777";"309";"832"
"50083.1533";"20116.1012";"138";"211"
"51514.8965";"20116.693";"306";"622"
"51268.5048";"20119.7187";"281";"840"
"51268.5048";"20119.7187";"281";"920"
"50083.1533";"20116.1012";"138";"212"
"48570.1946";"20025.1396";"30";"760"
"49196.8607";"20113.0314";"85";"213"
"49632.6003";"19853.9115";"104";"501"
"50107.1684";"20121.2947";"140";"214"
"52398.8875";"20129.0814";"425";"364"
"52390.7703";"20073.6936";"422";"365"
"52398.8875";"20129.0814";"425";"366"
"48694.1222";"20123.7507";"47";"761"
"49167.2374";"20133.0759";"84";"215"
"49167.2374";"20133.0759";"84";"502"
"49644.767";"19931.1613";"108";"178"
"49737.0833";"20136.3581";"122";"216"
"50285.9745";"20138.6723";"148";"152"
"51533.9286";"20141.4202";"312";"623"
"48656.8894";"20143.8699";"46";"762"
"51281.6625";"20107.2958";"282";"841"
"51437.0553";"20040.5052";"291";"921"
"49201.9243";"20145.6325";"89";"217"
"49233.5793";"20126.5127";"91";"218"
"48659.6459";"20152.9729";"545";"763"
"51308.9598";"20159.2457";"287";"842"
"51323.4187";"20144.2045";"286";"922"
"49713.7981";"20162.073";"123";"179"
"49713.7981";"20162.073";"123";"219"
"49737.0833";"20136.3581";"122";"180"
"50285.9745";"20138.6723";"148";"220"
"48678.4662";"20165.7473";"50";"764"
"48678.4662";"20165.7473";"50";"765"
"51084.4886";"19943.5544";"226";"906"
"50842.6781";"20169.9988";"222";"907"
"50842.6781";"20169.9988";"222";"276"
"48755.2094";"20174.709";"59";"544"
"48708.0095";"20131.9249";"49";"766"
"49728.8751";"20180.3259";"125";"181"
"49756.8628";"20163.2913";"126";"221"
"51551.9937";"20115.932";"310";"624"
"51600.8077";"20187.8809";"327";"567"
"48716.9587";"20201.0469";"57";"767"
"48716.9587";"20201.0469";"57";"545"
"50993.3556";"20219.5732";"261";"825"
"50877.7859";"20168.9099";"229";"277"
"47870.864";"19983.2037";"13";"367"
"49233.5793";"20126.5127";"91";"222"
"48163.9535";"20224.128";"19";"368"
"50993.3556";"20219.5732";"261";"278"
"51184.1611";"20037.987";"263";"826"
"50341.8054";"20228.0379";"162";"153"
"51323.4187";"20144.2045";"286";"843"
"51405.1636";"20228.4304";"307";"833"
"51590.0709";"20230.4673";"333";"625"
"51590.0709";"20230.4673";"333";"568"
"51600.8077";"20187.8809";"327";"626"
"51803.3479";"20050.6372";"342";"569"
"49728.8751";"20180.3259";"125";"223"
"50507.7575";"19928.4023";"149";"227"
"50596.4354";"20244.9422";"183";"279"
"51405.1636";"20228.4304";"307";"844"
"51533.9286";"20141.4202";"312";"834"
"48163.9535";"20224.128";"19";"369"
"48185.621";"20233.0845";"539";"370"
"48755.2094";"20174.709";"59";"768"
"49094.8645";"20067.9757";"74";"546"
"52513.3006";"20250.9447";"444";"371"
"50584.6362";"20255.2288";"182";"228"
"50584.6362";"20255.2288";"182";"280"
"49061.0316";"20269.4879";"86";"503"
"48798.0826";"20271.7051";"70";"769"
"48847.6304";"20248.7439";"71";"547"
"51606.7748";"20280.8703";"348";"627"
"51629.0958";"20238.2589";"344";"570"
"52540.8494";"20282.7606";"447";"372"
"52390.7703";"20073.6936";"422";"373"
"52594.4086";"20293.6258";"452";"374"
"51007.1065";"20227.5356";"266";"281"
"51088.6776";"20305.0281";"283";"923"
"52567.0891";"20309.3894";"450";"375"
"52594.4086";"20293.6258";"452";"376"
"48847.6304";"20248.7439";"71";"770"
"48936.101";"20313.7997";"82";"771"
"51520.1894";"20323.3039";"338";"571"
"51425.2652";"20245.0027";"311";"845"
"49016.0202";"20336.2732";"90";"504"
"48936.101";"20313.7997";"82";"772"
"49016.0202";"20336.2732";"90";"773"
"49201.9243";"20145.6325";"89";"505"
"51500.6275";"20343.7925";"339";"846"
"51500.6275";"20343.7925";"339";"572"
"51088.6776";"20305.0281";"283";"229"
"51308.9598";"20159.2457";"287";"924"
