"x";"y";"startnum";"linenum"
"49626.4817";"21515.2131";"242";"799"
"50443.7035";"21526.9683";"362";"865"
"50407.5293";"21538.0823";"354";"259"
"50411.7529";"21536.7847";"356";"260"
"50411.7529";"21536.7847";"356";"866"
"50953.4334";"21481.459";"419";"261"
"49975.9615";"21500.8227";"290";"584"
"50178.7389";"21369.0893";"297";"911"
"50901.7689";"21538.4283";"421";"262"
"48850.5929";"21496.7386";"144";"403"
"50620.8508";"21170.9207";"328";"941"
"50008.5495";"21562.0316";"299";"585"
"50024.7728";"21544.0197";"298";"586"
"52445.8954";"21562.2613";"522";"95"
"50613.2167";"21557.0607";"373";"121"
"50809.6917";"21565.2536";"408";"263"
"51894.6442";"21361.9855";"488";"647"
"50500.1594";"21572.0692";"367";"264"
"50601.1534";"21577.6116";"376";"942"
"50601.1534";"21577.6116";"376";"122"
"50443.7035";"21526.9683";"362";"265"
"48906.109";"21578.9553";"154";"404"
"48927.9281";"21554.5783";"153";"405"
"50601.1534";"21577.6116";"376";"266"
"50613.2167";"21557.0607";"373";"267"
"50902.2622";"21243.8831";"372";"123"
"50523.2768";"21588.1594";"369";"268"
"50621.8431";"21583.4037";"381";"269"
"49626.4817";"21515.2131";"242";"800"
"50809.6917";"21565.2536";"408";"6"
"50890.414";"21545.2224";"420";"270"
"49706.7713";"21591.3286";"272";"612"
"50811.3058";"21599.1198";"415";"271"
"50828.2539";"21591.4525";"416";"272"
"52527.1807";"21606.5612";"529";"96"
"52527.1807";"21606.5612";"529";"97"
"49706.7713";"21591.3286";"272";"801"
"49878.4796";"21441.2611";"273";"613"
"49667.9238";"21609.2789";"270";"802"
"50811.3058";"21599.1198";"415";"273"
"50673.2015";"21615.6065";"402";"274"
"50683.4092";"21614.9242";"403";"275"
"52092.4269";"21413.8495";"499";"98"
"52597.6388";"21635.7523";"535";"406"
"50091.5632";"21640.0553";"313";"587"
"49702.2673";"21647.6341";"276";"803"
"50107.04";"21655.1774";"316";"588"
"52561.018";"21657.6943";"534";"99"
"52561.018";"21657.6943";"534";"407"
"51221.8048";"21387.477";"431";"104"
"52600.0081";"21672.2157";"536";"100"
"52597.6388";"21635.7523";"535";"408"
"53030.3772";"21052.3683";"526";"409"
"51460.7662";"21671.307";"466";"648"
"49808.9967";"21677.8425";"293";"912"
"49728.5896";"21608.5349";"275";"804"
"49603.9272";"21536.6752";"241";"937"
"48927.9281";"21554.5783";"153";"410"
"49091.363";"21688.9841";"175";"526"
"49457.24";"21682.4814";"239";"938"
"51438.9753";"21696.886";"468";"105"
"51438.9753";"21696.886";"468";"649"
"51151.8985";"21700.4638";"449";"33"
"49091.363";"21688.9841";"175";"411"
"49274.6863";"21498.0067";"174";"527"
"50024.7728";"21544.0197";"298";"589"
"50205.05";"21715.8262";"351";"867"
"49808.9967";"21677.8425";"293";"650"
"50008.5495";"21562.0316";"299";"913"
"51460.7662";"21671.307";"466";"106"
"51690.0008";"21569.7597";"489";"651"
"51179.8494";"21725.6001";"453";"34"
"49806.8953";"21730.6033";"296";"805"
"49806.8953";"21730.6033";"296";"914"
"49857.5508";"21719.9483";"300";"806"
"50205.05";"21715.8262";"351";"590"
"50407.5293";"21538.0823";"354";"868"
"50186.9305";"21734.9575";"352";"591"
"50186.9305";"21734.9575";"352";"869"
"50994.5987";"21736.7048";"438";"592"
"50984.9767";"21743.6515";"437";"593"
"51455.6344";"21745.7791";"480";"107"
"51481.1335";"21721.5562";"481";"652"
"49457.24";"21682.4814";"239";"927"
"49522.6125";"21747.9941";"267";"614"
"49119.715";"21713.2563";"178";"412"
"49167.1745";"21751.9916";"193";"413"
"50207.997";"21753.2315";"361";"594"
"50224.549";"21733.216";"360";"870"
"51179.8494";"21725.6001";"453";"595"
"49510.3138";"21760.7658";"268";"928"
"49510.3138";"21760.7658";"268";"615"
"51007.6179";"21757.6931";"445";"596"
"50828.2539";"21591.4525";"416";"7"
"50917.7642";"21799.2917";"436";"597"
"49167.1745";"21751.9916";"193";"414"
"49229.776";"21796.5025";"553";"415"
"49857.5508";"21719.9483";"300";"653"
"49938.1255";"21807.5064";"314";"847"
"49938.1255";"21807.5064";"314";"654"
"50107.04";"21655.1774";"316";"848"
"50891.3444";"21824.1344";"435";"8"
"50891.3444";"21824.1344";"435";"598"
"50917.7642";"21799.2917";"436";"9"
"50994.7379";"21766.8164";"442";"599"
"50960.144";"21467.1";"418";"35"
"51292.0301";"21833.8548";"463";"655"
"49231.4709";"21802.5133";"228";"416"
"49271.9554";"21835.2526";"235";"939"
"50224.549";"21733.216";"360";"600"
"50374.9147";"21836.7626";"385";"601"
"49909.3754";"21842.6495";"315";"656"
"49909.3754";"21842.6495";"315";"657"
"50899.9205";"21853.754";"441";"10"
"50919.9896";"21828.1121";"439";"602"
"50352.5076";"21854.3538";"382";"603"
"51276.6127";"21856.3031";"467";"36"
"51276.6127";"21856.3031";"467";"658"
"50363.6702";"21860.5129";"387";"604"
"51292.0301";"21833.8548";"463";"37"
"51455.6344";"21745.7791";"480";"659"
"49271.9554";"21835.2526";"235";"417"
"49445.0226";"21695.0683";"240";"940"
"51481.1335";"21721.5562";"481";"108"
"49269.8252";"21875.6638";"243";"418"
"49269.8252";"21875.6638";"243";"419"
"49306.9445";"21865.9845";"250";"420"
"50387.7947";"21839.8156";"388";"605"
"51588.3581";"21868.2028";"495";"109"
"50471.7559";"21871.5468";"405";"606"
"51308.1452";"21883.0379";"475";"38"
"51323.7933";"21861.5226";"473";"660"
"50041.2977";"21901.6991";"353";"871"
"49950.1876";"21820.8103";"319";"661"
"50642.969";"21904.0335";"426";"4"
"50642.969";"21904.0335";"426";"607"
"50683.4092";"21614.9242";"403";"5"
"50487.328";"21905.7564";"412";"608"
"50481.8989";"21879.9993";"407";"609"
"50658.4386";"21904.3927";"427";"610"
"50512.9157";"21910.8415";"417";"46"
"49306.9445";"21865.9845";"250";"421"
"49364.0653";"21910.9595";"269";"616"
"50041.2977";"21901.6991";"353";"662"
"50207.997";"21753.2315";"361";"872"
"50899.9205";"21853.754";"441";"611"
"50009.3612";"21936.9787";"355";"663"
"50009.3612";"21936.9787";"355";"873"
"49364.0653";"21910.9595";"269";"422"
"49702.2673";"21647.6341";"276";"617"
"50025.3521";"21953.0397";"365";"664"
"50056.1557";"21919.0271";"364";"874"
"49368.7077";"21955.3159";"274";"423"
"49368.7077";"21955.3159";"274";"424"
"49416.6368";"21950.2639";"277";"425"
"49918.895";"21851.1245";"318";"849"
"49790.0751";"21993.4714";"324";"850"
"52096.2121";"22023.9991";"583";"426"
"52105.5206";"22024.3127";"528";"427"
"51481.6273";"22027.3903";"500";"39"
"50056.1557";"21919.0271";"364";"665"
"51122.367";"22041.4038";"569";"666"
"51134.9202";"22043.8497";"471";"667"
"50175.314";"22025.0475";"380";"668"
"50140.883";"22057.8233";"379";"669"
"51122.0808";"22059.1495";"472";"670"
"51122.0808";"22059.1495";"472";"671"
"52016.0272";"22063.9478";"525";"428"
"51502.5617";"22067.4086";"502";"40"
"49790.0751";"21993.4714";"324";"925"
"49878.6233";"22074.7099";"358";"875"
"50158.5475";"22075.6734";"391";"672"
"49864.1664";"22089.0337";"357";"926"
"49864.1664";"22089.0337";"357";"876"
"51308.1452";"21883.0379";"475";"673"
"51131.51";"22097.8854";"483";"674"
"51122.2793";"22116.4354";"568";"675"
"49416.6368";"21950.2639";"277";"429"
"49628.3393";"22134.3543";"317";"851"
"51057.823";"22139.2731";"476";"676"
"51042.414";"22154.7151";"477";"677"
"49628.3393";"22134.3543";"317";"430"
"49779.1548";"22005.2786";"325";"852"
"51077.1595";"22159.6041";"486";"678"
"51116.4476";"22117.1758";"484";"679"
"51815.5941";"22160.411";"520";"431"
"51594.7744";"21876.8164";"496";"110"
"50188.8317";"22050.6997";"392";"680"
"50919.9896";"21828.1121";"439";"11"
"49614.0534";"22168.4082";"323";"432"
"49614.0534";"22168.4082";"323";"433"
"49644.9248";"22154.931";"330";"434"
"50305.8004";"22163.5264";"423";"681"
"50880.1025";"22167.9874";"458";"12"
"51042.414";"22154.7151";"477";"682"
"51077.1595";"22159.6041";"486";"683"
"51766.636";"22184.2701";"518";"111"
"51766.636";"22184.2701";"518";"435"
"50880.1025";"22167.9874";"458";"13"
"50877.1107";"22184.0138";"561";"14"
"51815.5941";"22160.411";"520";"436"
"52600.0081";"21672.2157";"536";"437"
"51785.0883";"22213.8115";"521";"112"
"51831.2531";"22192.6964";"523";"438"
"49644.9248";"22154.931";"330";"439"
"49714.5039";"22240.0756";"359";"877"
"51831.2531";"22192.6964";"523";"50"
"50454.3344";"22245.5368";"434";"47"
"51323.7933";"21861.5226";"473";"41"
"51622.1149";"22247.8649";"513";"440"
"50311.433";"22168.9219";"424";"684"
"50895.218";"22252.596";"469";"685"
"50873.6232";"22188.5676";"459";"15"
"51840.1621";"22257.9419";"580";"51"
"51603.6934";"22260.9594";"512";"42"
"51603.6934";"22260.9594";"512";"43"
"49714.5039";"22240.0756";"359";"441"
"50025.3521";"21953.0397";"365";"878"
"50454.3344";"22245.5368";"434";"686"
"50512.9157";"21910.8415";"417";"48"
"49697.0013";"22273.671";"363";"442"
"49697.0013";"22273.671";"363";"879"
"49730.9795";"22263.3266";"366";"443"
"50824.665";"22276.9051";"462";"16"
"50824.665";"22276.9051";"462";"687"
"50466.7312";"22295.7162";"443";"688"
"50466.7312";"22295.7162";"443";"49"
"50484.0612";"22267.9759";"440";"689"
"50484.0612";"22267.9759";"440";"690"
"50844.9629";"22308.7846";"470";"17"
"51062.1282";"22174.5686";"485";"691"
"50806.8252";"22323.5667";"465";"18"
"50844.9629";"22308.7846";"470";"692"
"50806.8252";"22323.5667";"465";"693"
"51328.215";"22574.4868";"514";"444"
"51316.2149";"22583.1427";"570";"445"
"51328.215";"22574.4868";"514";"446"
"51785.0883";"22213.8115";"521";"447"
"51296.846";"22652.1576";"516";"448"
"51296.846";"22652.1576";"516";"449"
"51339.7202";"22617.8432";"519";"450"
"50844.9629";"22308.7846";"470";"19"
"50895.617";"22805.4654";"508";"20"
"50881.9289";"22814.3199";"507";"21"
"50878.6088";"22826.4651";"562";"22"
"50895.617";"22805.4654";"508";"23"
"50912.3602";"22822.1241";"563";"24"
"50895.462";"22838.4412";"510";"25"
"50895.462";"22838.4412";"510";"26"
"50912.9346";"22835.1387";"511";"27"
"50976.7114";"22946.4862";"515";"28"
"50976.7114";"22946.4862";"515";"29"
"49730.9795";"22263.3266";"366";"451"
"50488.0292";"23095.9057";"503";"452"
"51079.0815";"23096.024";"532";"453"
"50987.0795";"22962.8335";"517";"30"
"51041.8242";"23119.5964";"530";"31"
"51041.8242";"23119.5964";"530";"454"
"51075.2815";"23134.6509";"533";"455"
"51079.0815";"23096.024";"532";"456"
"51339.7202";"22617.8432";"519";"457"
"50488.0292";"23095.9057";"503";"458"
"50518.8332";"23151.0566";"505";"459"
"50518.8332";"23151.0566";"505";"460"
"50578.1489";"23148.872";"509";"461"
"50578.1489";"23148.872";"509";"462"
"51075.2815";"23134.6509";"533";"463"
"51701.3391";"21567.2987";"491";"694"
"51661.6051";"21537.6155";"479";"695"
"52567.0891";"20309.3894";"450";"464"
"48850.5929";"21496.7386";"144";"465"
"48906.109";"21578.9553";"154";"466"
"49174.2028";"19964.9499";"72";"554"
"48522.537";"20365.9071";"53";"555"
