"x";"y";"endnum";"linenum"
"50443.7035";"21526.9683";"362";"945"
"51857.699";"21345.2452";"482";"646"
"49580.8523";"21509.1877";"234";"798"
"49603.9272";"21536.6752";"241";"799"
"50411.7529";"21536.7847";"356";"865"
"50387.394";"21516.0516";"350";"259"
"50407.5293";"21538.0823";"354";"260"
"50407.5293";"21538.0823";"354";"866"
"50901.7689";"21538.4283";"421";"261"
"50024.7728";"21544.0197";"298";"584"
"50024.7728";"21544.0197";"298";"911"
"50890.414";"21545.2224";"420";"262"
"48927.9281";"21554.5783";"153";"403"
"50613.2167";"21557.0607";"373";"941"
"49959.0503";"21519.8877";"292";"585"
"50008.5495";"21562.0316";"299";"586"
"52088.3531";"21431.2998";"501";"95"
"50834.3864";"21427.0005";"398";"121"
"50928.4703";"21461.7684";"411";"263"
"51701.3391";"21567.2987";"491";"647"
"50411.7529";"21536.7847";"356";"264"
"50605.2022";"21169.1176";"320";"942"
"50613.2167";"21557.0607";"373";"122"
"50601.1534";"21577.6116";"376";"265"
"48829.2845";"21516.0222";"143";"404"
"48906.109";"21578.9553";"154";"405"
"50621.8431";"21583.4037";"381";"266"
"50621.8431";"21583.4037";"381";"267"
"50621.8431";"21583.4037";"381";"123"
"50500.1594";"21572.0692";"367";"268"
"50809.6917";"21565.2536";"408";"269"
"49706.7713";"21591.3286";"272";"800"
"50828.2539";"21591.4525";"416";"6"
"50828.2539";"21591.4525";"416";"270"
"49860.5638";"21421.7488";"271";"612"
"50809.6917";"21565.2536";"408";"271"
"50811.3058";"21599.1198";"415";"272"
"52445.8954";"21562.2613";"522";"96"
"52445.8954";"21562.2613";"522";"97"
"49728.5896";"21608.5349";"275";"801"
"49728.5896";"21608.5349";"275";"613"
"49603.9272";"21536.6752";"241";"802"
"50683.4092";"21614.9242";"403";"273"
"50523.2768";"21588.1594";"369";"274"
"50673.2015";"21615.6065";"402";"275"
"52597.6388";"21635.7523";"535";"98"
"53043.7169";"21231.0492";"537";"406"
"50008.5495";"21562.0316";"299";"587"
"49667.9238";"21609.2789";"270";"803"
"50091.5632";"21640.0553";"313";"588"
"52527.1807";"21606.5612";"529";"99"
"52597.6388";"21635.7523";"535";"407"
"51460.7662";"21671.307";"466";"104"
"52561.018";"21657.6943";"534";"100"
"52600.0081";"21672.2157";"536";"408"
"52600.0081";"21672.2157";"536";"409"
"51661.6051";"21537.6155";"479";"648"
"49959.0503";"21519.8877";"292";"912"
"49808.9967";"21677.8425";"293";"804"
"49457.24";"21682.4814";"239";"937"
"49091.363";"21688.9841";"175";"410"
"49271.325";"21489.131";"171";"526"
"49445.0226";"21695.0683";"240";"938"
"50981.4205";"21298.5992";"400";"105"
"51460.7662";"21671.307";"466";"649"
"50953.4334";"21481.459";"419";"33"
"49119.715";"21713.2563";"178";"411"
"49119.715";"21713.2563";"178";"527"
"50205.05";"21715.8262";"351";"589"
"50387.394";"21516.0516";"350";"867"
"49857.5508";"21719.9483";"300";"650"
"49857.5508";"21719.9483";"300";"913"
"51481.1335";"21721.5562";"481";"106"
"51481.1335";"21721.5562";"481";"651"
"51151.8985";"21700.4638";"449";"34"
"49702.2673";"21647.6341";"276";"805"
"49808.9967";"21677.8425";"293";"914"
"49806.8953";"21730.6033";"296";"806"
"50224.549";"21733.216";"360";"590"
"50224.549";"21733.216";"360";"868"
"50107.04";"21655.1774";"316";"591"
"50205.05";"21715.8262";"351";"869"
"51151.8985";"21700.4638";"449";"592"
"50994.5987";"21736.7048";"438";"593"
"51438.9753";"21696.886";"468";"107"
"51455.6344";"21745.7791";"480";"652"
"49522.6125";"21747.9941";"267";"927"
"49667.9238";"21609.2789";"270";"614"
"49167.1745";"21751.9916";"193";"412"
"49174.8071";"21749.8926";"604";"413"
"50186.9305";"21734.9575";"352";"594"
"50207.997";"21753.2315";"361";"870"
"51007.6179";"21757.6931";"445";"595"
"49445.0226";"21695.0683";"240";"928"
"49522.6125";"21747.9941";"267";"615"
"50994.7379";"21766.8164";"442";"596"
"50917.7642";"21799.2917";"436";"7"
"50984.9767";"21743.6515";"437";"597"
"49231.4709";"21802.5133";"228";"414"
"49231.4709";"21802.5133";"228";"415"
"49938.1255";"21807.5064";"314";"653"
"50091.5632";"21640.0553";"313";"847"
"49950.1876";"21820.8103";"319";"654"
"49950.1876";"21820.8103";"319";"848"
"50811.3058";"21599.1198";"415";"8"
"50917.7642";"21799.2917";"436";"598"
"50919.9896";"21828.1121";"439";"9"
"50919.9896";"21828.1121";"439";"599"
"51292.0301";"21833.8548";"463";"35"
"51438.9753";"21696.886";"468";"655"
"49271.9554";"21835.2526";"235";"416"
"49580.8523";"21509.1877";"234";"939"
"50374.9147";"21836.7626";"385";"600"
"50387.7947";"21839.8156";"388";"601"
"49806.8953";"21730.6033";"296";"656"
"49918.895";"21851.1245";"318";"657"
"50891.3444";"21824.1344";"435";"10"
"50899.9205";"21853.754";"441";"602"
"50207.997";"21753.2315";"361";"603"
"51179.8494";"21725.6001";"453";"36"
"51292.0301";"21833.8548";"463";"658"
"50352.5076";"21854.3538";"382";"604"
"51323.7933";"21861.5226";"473";"37"
"51323.7933";"21861.5226";"473";"659"
"49306.9445";"21865.9845";"250";"417"
"49306.9445";"21865.9845";"250";"940"
"51588.3581";"21868.2028";"495";"108"
"48906.109";"21578.9553";"154";"418"
"49271.9554";"21835.2526";"235";"419"
"49269.8252";"21875.6638";"243";"420"
"50471.7559";"21871.5468";"405";"605"
"51594.7744";"21876.8164";"496";"109"
"50481.8989";"21879.9993";"407";"606"
"51276.6127";"21856.3031";"467";"38"
"51308.1452";"21883.0379";"475";"660"
"50186.9305";"21734.9575";"352";"871"
"50041.2977";"21901.6991";"353";"661"
"50673.2015";"21615.6065";"402";"4"
"50658.4386";"21904.3927";"427";"607"
"50658.4386";"21904.3927";"427";"5"
"50363.6702";"21860.5129";"387";"608"
"50642.969";"21904.0335";"426";"609"
"50891.3444";"21824.1344";"435";"610"
"50487.328";"21905.7564";"412";"46"
"49364.0653";"21910.9595";"269";"421"
"49510.3138";"21760.7658";"268";"616"
"50056.1557";"21919.0271";"364";"662"
"50056.1557";"21919.0271";"364";"872"
"50512.9157";"21910.8415";"417";"611"
"49918.895";"21851.1245";"318";"663"
"50041.2977";"21901.6991";"353";"873"
"49416.6368";"21950.2639";"277";"422"
"49416.6368";"21950.2639";"277";"617"
"50009.3612";"21936.9787";"355";"664"
"50025.3521";"21953.0397";"365";"874"
"49269.8252";"21875.6638";"243";"423"
"49364.0653";"21910.9595";"269";"424"
"49368.7077";"21955.3159";"274";"425"
"49790.0751";"21993.4714";"324";"849"
"49779.1548";"22005.2786";"325";"850"
"52105.5206";"22024.3127";"528";"426"
"52561.018";"21657.6943";"534";"427"
"51308.1452";"21883.0379";"475";"39"
"50175.314";"22025.0475";"380";"665"
"51134.9202";"22043.8497";"471";"666"
"51276.6127";"21856.3031";"467";"667"
"50188.8317";"22050.6997";"392";"668"
"50025.3521";"21953.0397";"365";"669"
"51116.0463";"22049.6512";"625";"670"
"51134.9202";"22043.8497";"471";"671"
"52105.5206";"22024.3127";"528";"428"
"51481.6273";"22027.3903";"500";"40"
"49878.6233";"22074.7099";"358";"925"
"50009.3612";"21936.9787";"355";"875"
"50140.883";"22057.8233";"379";"672"
"49779.1548";"22005.2786";"325";"926"
"49878.6233";"22074.7099";"358";"876"
"51131.51";"22097.8854";"483";"673"
"51116.4476";"22117.1758";"484";"674"
"51116.4476";"22117.1758";"484";"675"
"49628.3393";"22134.3543";"317";"429"
"49909.3754";"21842.6495";"315";"851"
"51122.0808";"22059.1495";"472";"676"
"51057.823";"22139.2731";"476";"677"
"49644.9248";"22154.931";"330";"430"
"49644.9248";"22154.931";"330";"852"
"51057.823";"22139.2731";"476";"678"
"51077.1595";"22159.6041";"486";"679"
"52016.0272";"22063.9478";"525";"431"
"51815.5941";"22160.411";"520";"110"
"50305.8004";"22163.5264";"423";"680"
"50880.1025";"22167.9874";"458";"11"
"49368.7077";"21955.3159";"274";"432"
"49628.3393";"22134.3543";"317";"433"
"49614.0534";"22168.4082";"323";"434"
"50311.433";"22168.9219";"424";"681"
"50884.5068";"22172.4284";"617";"12"
"51062.1282";"22174.5686";"485";"682"
"51062.1282";"22174.5686";"485";"683"
"51455.6344";"21745.7791";"480";"111"
"51815.5941";"22160.411";"520";"435"
"50873.6232";"22188.5676";"459";"13"
"50873.6232";"22188.5676";"459";"14"
"51831.2531";"22192.6964";"523";"436"
"51831.2531";"22192.6964";"523";"437"
"51766.636";"22184.2701";"518";"112"
"51785.0883";"22213.8115";"521";"438"
"49714.5039";"22240.0756";"359";"439"
"49864.1664";"22089.0337";"357";"877"
"51852.3484";"22245.5017";"636";"50"
"50487.328";"21905.7564";"412";"47"
"51622.1149";"22247.8649";"513";"41"
"51766.636";"22184.2701";"518";"440"
"50454.3344";"22245.5368";"434";"684"
"51042.414";"22154.7151";"477";"685"
"50895.218";"22252.596";"469";"15"
"51785.0883";"22213.8115";"521";"51"
"51502.5617";"22067.4086";"502";"42"
"51622.1149";"22247.8649";"513";"43"
"49730.9795";"22263.3266";"366";"441"
"49730.9795";"22263.3266";"366";"878"
"50484.0612";"22267.9759";"440";"686"
"50484.0612";"22267.9759";"440";"48"
"49614.0534";"22168.4082";"323";"442"
"49714.5039";"22240.0756";"359";"879"
"49697.0013";"22273.671";"363";"443"
"50899.9205";"21853.754";"441";"16"
"50895.218";"22252.596";"469";"687"
"50158.5475";"22075.6734";"391";"688"
"50454.3344";"22245.5368";"434";"49"
"50466.7312";"22295.7162";"443";"689"
"50824.665";"22276.9051";"462";"690"
"50895.218";"22252.596";"469";"17"
"50844.9629";"22308.7846";"470";"691"
"50824.665";"22276.9051";"462";"18"
"50806.8252";"22323.5667";"465";"692"
"50466.7312";"22295.7162";"443";"693"
"51603.6934";"22260.9594";"512";"444"
"51328.215";"22574.4868";"514";"445"
"51339.7202";"22617.8432";"519";"446"
"51339.7202";"22617.8432";"519";"447"
"51294.1951";"22643.5497";"626";"448"
"51328.215";"22574.4868";"514";"449"
"51296.846";"22652.1576";"516";"450"
"50895.617";"22805.4654";"508";"19"
"50910.056";"22810.4047";"619";"20"
"50806.8252";"22323.5667";"465";"21"
"50881.9289";"22814.3199";"507";"22"
"50912.9346";"22835.1387";"511";"23"
"50912.9346";"22835.1387";"511";"24"
"50885.4781";"22836.626";"618";"25"
"50881.9289";"22814.3199";"507";"26"
"50976.7114";"22946.4862";"515";"27"
"50986.852";"22943.6499";"621";"28"
"50987.0795";"22962.8335";"517";"29"
"50488.0292";"23095.9057";"503";"451"
"50497.9367";"23089.858";"616";"452"
"51296.846";"22652.1576";"516";"453"
"51079.0815";"23096.024";"532";"30"
"50895.462";"22838.4412";"510";"31"
"51079.0815";"23096.024";"532";"454"
"51041.8242";"23119.5964";"530";"455"
"51075.2815";"23134.6509";"533";"456"
"51075.2815";"23134.6509";"533";"457"
"50578.1489";"23148.872";"509";"458"
"49697.0013";"22273.671";"363";"459"
"50488.0292";"23095.9057";"503";"460"
"50518.8332";"23151.0566";"505";"461"
"51041.8242";"23119.5964";"530";"462"
"50518.8332";"23151.0566";"505";"463"
"51690.0008";"21569.7597";"489";"694"
"51670.574";"21527.2031";"478";"695"
"52594.4086";"20293.6258";"452";"464"
"48829.2845";"21516.0222";"143";"465"
"48927.9281";"21554.5783";"153";"466"
"49106.6133";"19915.0095";"69";"554"
"48552.1424";"20412.5377";"62";"555"
