"x";"y";"endnum";"linenum"
"48848.8502";"19756.1899";"31";"195"
"50467.1625";"19732.2145";"139";"734"
"50462.4182";"19768.3158";"141";"735"
"50183.2252";"19766.1376";"129";"736"
"50215.151";"19770.6377";"130";"148"
"50215.151";"19770.6377";"130";"737"
"48850.7277";"19776.0867";"597";"196"
"48848.8502";"19756.1899";"31";"197"
"48879.3941";"19778.1798";"36";"198"
"48879.3941";"19778.1798";"36";"199"
"51415.6146";"19764.784";"254";"856"
"51429.9088";"19778.5313";"260";"818"
"52101.2557";"19677.9363";"321";"557"
"51989.9144";"19796.141";"326";"558"
"51162.1284";"19803.5116";"203";"738"
"51426.45";"19544.4821";"205";"898"
"49667.0868";"19747.9252";"101";"173"
"47855.4701";"19265.7299";"1";"354"
"51206.1198";"19819.4762";"225";"739"
"51206.1198";"19819.4762";"225";"899"
"51976.9617";"19803.3707";"322";"807"
"52011.3403";"19824.8166";"335";"559"
"52011.3403";"19824.8166";"335";"560"
"50486.7564";"19765.2918";"142";"740"
"51132.3342";"19826.1307";"199";"741"
"49557.2487";"19828.9958";"97";"496"
"49641.4752";"19808.3563";"103";"497"
"49540.4594";"19826.3598";"609";"498"
"49557.2487";"19828.9958";"97";"499"
"51132.3342";"19826.1307";"199";"742"
"51174.9645";"19843.6639";"224";"743"
"49641.4752";"19808.3563";"103";"174"
"51429.9088";"19778.5313";"260";"857"
"51298.7146";"19878.5453";"252";"744"
"51415.6146";"19764.784";"254";"819"
"47838.1106";"19812.9912";"8";"467"
"47838.1106";"19812.9912";"8";"355"
"51174.9645";"19843.6639";"224";"745"
"51329.0474";"19899.6541";"265";"746"
"51329.0474";"19899.6541";"265";"820"
"51512.0736";"19859.3325";"279";"858"
"50183.2252";"19766.1376";"129";"149"
"49644.2403";"19908.9285";"105";"175"
"50508.3825";"19914.6517";"147";"225"
"49245.0005";"19538.6697";"44";"537"
"49651.6209";"19915.7315";"611";"176"
"51276.2501";"19899.4373";"251";"747"
"50203.9524";"19908.548";"133";"150"
"49003.3566";"19926.7904";"60";"200"
"49012.9404";"19927.0842";"602";"201"
"50507.7575";"19928.4023";"149";"226"
"49644.767";"19931.1613";"108";"177"
"48859.8948";"19777.4725";"34";"202"
"51095.2967";"19936.7908";"227";"900"
"51084.4886";"19943.5544";"226";"901"
"48991.4378";"19935.5263";"58";"203"
"49020.2017";"19947.3341";"64";"204"
"49020.2017";"19947.3341";"64";"205"
"49000.0938";"19956.7465";"601";"206"
"48991.4378";"19935.5263";"58";"207"
"51407.0967";"19961.7387";"278";"748"
"51512.0736";"19859.3325";"279";"915"
"49174.2028";"19964.9499";"72";"538"
"49174.2028";"19964.9499";"72";"539"
"51661.4225";"19965.9505";"303";"859"
"51989.9144";"19796.141";"326";"827"
"49106.6133";"19915.0095";"69";"540"
"49049.5367";"19967.5892";"68";"208"
"47806.1687";"19974.7599";"11";"476"
"47832.231";"19896.3565";"10";"356"
"51673.429";"19977.1084";"308";"860"
"51673.429";"19977.1084";"308";"828"
"51557.557";"19902.0277";"285";"861"
"51661.4225";"19965.9505";"303";"829"
"47870.864";"19983.2037";"13";"357"
"47870.864";"19983.2037";"13";"358"
"51645.0671";"19980.7892";"302";"862"
"51659.0559";"19993.7777";"309";"830"
"49008.896";"19957.1081";"63";"209"
"49049.5367";"19967.5892";"68";"541"
"51303.0253";"19921.6684";"264";"749"
"51407.0967";"19961.7387";"278";"916"
"47894.1995";"19231.436";"2";"477"
"47806.1687";"19974.7599";"11";"359"
"47842.075";"20005.5389";"12";"478"
"48550.1691";"20008.2544";"26";"750"
"48565.8194";"20008.3364";"594";"751"
"51463.2685";"20012.3131";"288";"618"
"51463.2685";"20012.3131";"288";"917"
"51180.1251";"20013.4534";"257";"835"
"51276.2501";"19899.4373";"251";"821"
"48526.2456";"19641.1174";"14";"752"
"48570.1946";"20025.1396";"30";"753"
"48570.1946";"20025.1396";"30";"754"
"51194.1196";"20025.9099";"262";"836"
"51194.1196";"20025.9099";"262";"822"
"51084.4886";"19943.5544";"226";"837"
"51180.1251";"20013.4534";"257";"823"
"51819.9607";"20031.3049";"341";"561"
"50972.1233";"20032.4488";"217";"902"
"51132.3342";"19826.1307";"199";"903"
"48522.9252";"20022.0592";"25";"755"
"51169.0368";"20026.1925";"258";"838"
"51184.1611";"20037.987";"263";"824"
"51381.3831";"19998.7384";"280";"619"
"51437.0553";"20040.5052";"291";"918"
"49118.2793";"20041.368";"73";"542"
"51819.5009";"20041.7381";"635";"562"
"48522.9252";"20022.0592";"25";"756"
"50958.0144";"20035.5976";"620";"904"
"50972.1233";"20032.4488";"217";"905"
"51754.0089";"20049.9749";"332";"863"
"51976.9617";"19803.3707";"322";"563"
"51803.3479";"20050.6372";"342";"564"
"51803.3479";"20050.6372";"342";"565"
"52128.1985";"19722.7227";"340";"360"
"48543.1996";"20041.9819";"28";"757"
"51659.0559";"19993.7777";"309";"864"
"51754.0089";"20049.9749";"332";"566"
"49094.8645";"20067.9757";"74";"543"
"52390.7703";"20073.6936";"422";"361"
"52390.7703";"20073.6936";"422";"362"
"51535.9962";"20091.9588";"304";"620"
"48556.655";"20054.1713";"33";"758"
"51645.0671";"19980.7892";"302";"831"
"50196.5932";"19923.9723";"136";"151"
"52340.1269";"20053.3706";"413";"363"
"48556.655";"20054.1713";"33";"759"
"51281.6625";"20107.2958";"282";"839"
"51381.3831";"19998.7384";"280";"919"
"49196.8607";"20113.0314";"85";"210"
"49536.7092";"19837.2978";"94";"500"
"51551.9937";"20115.932";"310";"621"
"51551.9937";"20115.932";"310";"832"
"50091.7657";"20110.7731";"615";"211"
"51437.0553";"20040.5052";"291";"622"
"51184.1611";"20037.987";"263";"840"
"51281.6625";"20107.2958";"282";"920"
"50107.1684";"20121.2947";"140";"212"
"48694.1222";"20123.7507";"47";"760"
"49233.5793";"20126.5127";"91";"213"
"49233.5793";"20126.5127";"91";"501"
"50263.6331";"20093.8082";"145";"214"
"52340.1269";"20053.3706";"413";"364"
"52398.8875";"20129.0814";"425";"365"
"52342.3492";"20131.0623";"642";"366"
"48708.0095";"20131.9249";"49";"761"
"49094.8645";"20067.9757";"74";"215"
"49196.8607";"20113.0314";"85";"502"
"49737.0833";"20136.3581";"122";"178"
"50083.1533";"20116.1012";"138";"216"
"50263.6331";"20093.8082";"145";"152"
"51514.8965";"20116.693";"306";"623"
"48594.4943";"20092.9161";"38";"762"
"51323.4187";"20144.2045";"286";"841"
"51323.4187";"20144.2045";"286";"921"
"49167.2374";"20133.0759";"84";"217"
"49201.9243";"20145.6325";"89";"218"
"48656.8894";"20143.8699";"46";"763"
"51268.5048";"20119.7187";"281";"842"
"51308.9598";"20159.2457";"287";"922"
"49632.6003";"19853.9115";"104";"179"
"49737.0833";"20136.3581";"122";"219"
"49756.8628";"20163.2913";"126";"180"
"49756.8628";"20163.2913";"126";"220"
"48664.0905";"20164.9179";"595";"764"
"48656.8894";"20143.8699";"46";"765"
"50877.7859";"20168.9099";"229";"906"
"50961.7006";"20044.3175";"218";"907"
"50877.7859";"20168.9099";"229";"276"
"49018.1674";"19994.3975";"66";"544"
"48755.2094";"20174.709";"59";"766"
"49713.7981";"20162.073";"123";"181"
"49728.8751";"20180.3259";"125";"221"
"51600.8077";"20187.8809";"327";"624"
"51733.9556";"20065.076";"329";"567"
"48678.4662";"20165.7473";"50";"767"
"48755.2094";"20174.709";"59";"545"
"51169.0368";"20026.1925";"258";"825"
"50993.3556";"20219.5732";"261";"277"
"48163.9535";"20224.128";"19";"367"
"49713.7981";"20162.073";"123";"222"
"48180.8986";"20222.5284";"590";"368"
"51007.1065";"20227.5356";"266";"278"
"51007.1065";"20227.5356";"266";"826"
"50285.9745";"20138.6723";"148";"153"
"51405.1636";"20228.4304";"307";"843"
"51514.8965";"20116.693";"306";"833"
"51533.9286";"20141.4202";"312";"625"
"51600.8077";"20187.8809";"327";"568"
"51629.0958";"20238.2589";"344";"626"
"51629.0958";"20238.2589";"344";"569"
"49201.9243";"20145.6325";"89";"223"
"50596.4354";"20244.9422";"183";"227"
"50842.6781";"20169.9988";"222";"279"
"51425.2652";"20245.0027";"311";"844"
"51425.2652";"20245.0027";"311";"834"
"48182.7411";"20246.9";"22";"369"
"48182.7411";"20246.9";"22";"370"
"48847.6304";"20248.7439";"71";"768"
"48847.6304";"20248.7439";"71";"546"
"52398.8875";"20129.0814";"425";"371"
"50462.4182";"19768.3158";"141";"228"
"50596.4354";"20244.9422";"183";"280"
"49167.2374";"20133.0759";"84";"503"
"48716.9587";"20201.0469";"57";"769"
"48798.0826";"20271.7051";"70";"547"
"51590.0709";"20230.4673";"333";"627"
"51606.7748";"20280.8703";"348";"570"
"52513.3006";"20250.9447";"444";"372"
"52594.4086";"20293.6258";"452";"373"
"52604.1396";"20302.9214";"454";"374"
"51088.6776";"20305.0281";"283";"281"
"51268.5048";"20119.7187";"281";"923"
"52540.8494";"20282.7606";"447";"375"
"52567.0891";"20309.3894";"450";"376"
"48936.101";"20313.7997";"82";"770"
"49061.0316";"20269.4879";"86";"771"
"51590.0709";"20230.4673";"333";"571"
"51520.1894";"20323.3039";"338";"845"
"49061.0316";"20269.4879";"86";"504"
"49016.0202";"20336.2732";"90";"772"
"49052.8894";"20339.7726";"98";"773"
"49052.8894";"20339.7726";"98";"505"
"51308.9598";"20159.2457";"287";"846"
"51520.1894";"20323.3039";"338";"572"
"51140.578";"20356.4527";"294";"229"
"51140.578";"20356.4527";"294";"924"
"52657.2131";"20358.0302";"456";"377"
"52657.2131";"20358.0302";"456";"378"
"50584.6362";"20255.2288";"182";"282"
"50500.8559";"20361.781";"185";"154"
"48716.9587";"20201.0469";"57";"548"
"48798.0826";"20271.7051";"70";"774"
"49016.0202";"20336.2732";"90";"506"
"48995.4939";"20380.2262";"95";"775"
"49032.4038";"20383.5174";"102";"507"
"50524.8954";"20391.1573";"191";"126"
"50524.8954";"20391.1573";"191";"283"
"50341.8054";"20228.0379";"162";"155"
"50500.8559";"20361.781";"185";"284"
"50496.7571";"20395.9403";"188";"156"
"50519.0279";"20405.8978";"194";"285"
"48522.537";"20365.9071";"53";"549"
